,product_id,current_date,current_stock,predicted_sales,future_week,need_buy,quant_needed
289,P0711,2019-09-30,36.0,1.9155626e-08,2019-10-14,NO,0.0
290,P0712,2019-09-30,2.0,0.59834343,2019-10-14,NO,0.0
291,P0714,2019-09-30,1.0,0.80395067,2019-10-14,YES,1.0
292,P0718,2019-09-30,13.0,1.5171573,2019-10-14,NO,0.0
293,P0721,2019-09-30,12.0,0.67183614,2019-10-14,NO,0.0
294,P0724,2019-09-30,5.0,0.0,2019-10-14,NO,0.0
295,P0729,2019-09-30,10.0,0.0,2019-10-14,NO,0.0
296,P0730,2019-09-30,5.0,0.74797213,2019-10-14,NO,0.0
297,P0731,2019-09-30,12.0,0.0,2019-10-14,NO,0.0
298,P0732,2019-09-30,21.0,0.9957248,2019-10-14,NO,0.0
299,P0733,2019-09-30,14.0,0.0,2019-10-14,NO,0.0
300,P0735,2019-09-30,5.0,0.26066902,2019-10-14,NO,0.0
301,P0737,2019-09-30,13.0,0.0,2019-10-14,NO,0.0
302,P0738,2019-09-30,9.0,0.0,2019-10-14,NO,0.0
303,P0739,2019-09-30,14.0,2.730788,2019-10-14,NO,0.0
304,P0741,2019-09-30,14.0,0.0,2019-10-14,NO,0.0
305,P0742,2019-09-30,4.0,0.0,2019-10-14,NO,0.0
306,P0748,2019-09-30,16.0,0.0,2019-10-14,NO,0.0
