Store,Date,fcst_revenue,WEEk
S0016,10/11/2019,129,41
S0016,10/12/2019,142,41
S0016,10/13/2019,142,42
S0016,10/14/2019,131,42
S0016,10/15/2019,131,42
S0016,10/16/2019,132,42
S0016,10/17/2019,127,42
S0016,10/18/2019,132,42
S0016,10/19/2019,132,42
S0016,10/20/2019,133,43
S0016,10/21/2019,135,43
S0016,10/22/2019,136,43
S0016,10/23/2019,136,43
S0016,10/24/2019,132,43
S0016,10/25/2019,136,43
S0016,10/26/2019,137,43
S0016,10/27/2019,137,44
S0016,10/28/2019,132,44
S0016,10/29/2019,132,44
S0016,10/30/2019,133,44
S0016,10/31/2019,128,44
S0020,10/1/2019,1690,40
S0020,10/2/2019,1467,40
S0020,10/3/2019,1352,40
S0020,10/4/2019,1406,40
S0020,10/5/2019,1459,40
S0020,10/6/2019,1529,41
S0020,10/7/2019,1368,41
S0020,10/8/2019,1355,41
S0020,10/9/2019,1367,41
S0020,10/10/2019,1320,41
S0020,10/11/2019,1365,41
S0020,10/12/2019,1590,41
S0020,10/13/2019,1591,42
S0020,10/14/2019,1511,42
S0020,10/15/2019,1511,42
S0020,10/16/2019,1512,42
S0020,10/17/2019,1467,42
S0020,10/18/2019,1513,42
S0020,10/19/2019,1514,42
S0020,10/20/2019,1514,43
S0020,10/21/2019,1531,43
S0020,10/22/2019,1532,43
S0020,10/23/2019,1533,43
S0020,10/24/2019,1488,43
S0020,10/25/2019,1534,43
S0020,10/26/2019,1534,43
S0020,10/27/2019,1535,44
S0020,10/28/2019,1397,44
S0020,10/29/2019,1397,44
S0020,10/30/2019,1398,44
S0020,10/31/2019,1353,44
S0022,10/1/2019,325,40
S0022,10/2/2019,324,40
S0022,10/3/2019,308,40
S0022,10/4/2019,327,40
S0022,10/5/2019,266,40
S0022,10/6/2019,315,41
S0022,10/7/2019,336,41
S0022,10/8/2019,349,41
S0022,10/9/2019,338,41
S0022,10/10/2019,312,41
S0022,10/11/2019,340,41
S0022,10/12/2019,332,41
S0022,10/13/2019,335,42
S0022,10/14/2019,345,42
S0022,10/15/2019,348,42
S0022,10/16/2019,348,42
S0022,10/17/2019,326,42
S0022,10/18/2019,350,42
S0022,10/19/2019,352,42
S0022,10/20/2019,352,43
S0022,10/21/2019,357,43
S0022,10/22/2019,357,43
S0022,10/23/2019,359,43
S0022,10/24/2019,335,43
S0022,10/25/2019,361,43
S0022,10/26/2019,361,43
S0022,10/27/2019,362,44
S0022,10/28/2019,348,44
S0022,10/29/2019,349,44
S0022,10/30/2019,349,44
S0022,10/31/2019,326,44
S0023,10/1/2019,462,40
S0023,10/2/2019,535,40
S0023,10/3/2019,547,40
S0023,10/4/2019,502,40
S0023,10/5/2019,674,40
S0023,10/6/2019,633,41
S0023,10/7/2019,533,41
S0023,10/8/2019,525,41
S0023,10/9/2019,528,41
S0023,10/10/2019,521,41
S0023,10/11/2019,530,41
S0023,10/12/2019,640,41
S0023,10/13/2019,641,42
S0023,10/14/2019,598,42
S0023,10/15/2019,598,42
S0023,10/16/2019,598,42
S0023,10/17/2019,589,42
S0023,10/18/2019,598,42
S0023,10/19/2019,598,42
S0023,10/20/2019,598,43
S0023,10/21/2019,595,43
S0023,10/22/2019,595,43
S0023,10/23/2019,595,43
S0023,10/24/2019,585,43
S0023,10/25/2019,595,43
S0023,10/26/2019,595,43
S0023,10/27/2019,595,44
S0023,10/28/2019,521,44
S0023,10/29/2019,521,44
S0023,10/30/2019,521,44
S0023,10/31/2019,512,44
S0026,10/1/2019,1416,40
S0026,10/2/2019,1582,40
S0026,10/3/2019,1546,40
S0026,10/4/2019,1514,40
S0026,10/5/2019,1990,40
S0026,10/6/2019,1971,41
S0026,10/7/2019,1592,41
S0026,10/8/2019,1571,41
S0026,10/9/2019,1551,41
S0026,10/10/2019,1463,41
S0026,10/11/2019,1536,41
S0026,10/12/2019,2008,41
S0026,10/13/2019,1996,42
S0026,10/14/2019,1768,42
S0026,10/15/2019,1760,42
S0026,10/16/2019,1752,42
S0026,10/17/2019,1667,42
S0026,10/18/2019,1733,42
S0026,10/19/2019,1723,42
S0026,10/20/2019,1714,43
S0026,10/21/2019,1653,43
S0026,10/22/2019,1644,43
S0026,10/23/2019,1636,43
S0026,10/24/2019,1552,43
S0026,10/25/2019,1619,43
S0026,10/26/2019,1611,43
S0026,10/27/2019,1603,44
S0026,10/28/2019,1253,44
S0026,10/29/2019,1246,44
S0026,10/30/2019,1239,44
S0026,10/31/2019,1157,44
S0030,10/1/2019,77,40
S0030,10/2/2019,82,40
S0030,10/3/2019,81,40
S0030,10/4/2019,82,40
S0030,10/5/2019,111,40
S0030,10/6/2019,94,41
S0030,10/7/2019,84,41
S0030,10/8/2019,84,41
S0030,10/9/2019,84,41
S0030,10/10/2019,83,41
S0030,10/11/2019,84,41
S0030,10/12/2019,87,41
S0030,10/13/2019,87,42
S0030,10/14/2019,89,42
S0030,10/15/2019,89,42
